Inventarisnr.,,,Inv.srt,,Omschrijving,,Terminal-ID,,Straat,Thv,CBS,Wijk,Sector A,Sector B,Sector C,,Sector D,X-Coord.,Y-Coord.,Voeding,ICS,Online,Type,ESN no,Cr Callno,Sleutel,GSM,Deelgem.,Deelgem niveau,Man nr,Status,Mutdatum,Door user,Inv.status
FT187,,,FT,,Fietstrommel,,,,PR HENDRIKKD,153,,,,,,,,51.9102897644043,4.49085998535156,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT188,,,FT,,Fietstrommel,,,,BREITNERSTR,93,,,,,,,,51.9143600463867,4.46716022491455,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT189,,,FT,,Fietstrommel,,,,JACOBUSSTR,191,,,,,,,,51.9176483154297,4.47409009933472,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT19,,,FT,,Fietstrommel,,,,W VARKENOORDSEWG,139,,,,,,,,51.8962287902832,4.51539993286133,,,,,,,,,Feijenoord,,,A,08-07-2011,OOMEBE,
FT190,,,FT,,Fietstrommel,,,,BAAN,50,,,,,,,,51.9141998291016,4.48055982589722,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT191,,,FT,,Fietstrommel,,,,BAAN,50,,,,,,,,51.9141998291016,4.48055982589722,,,,,,,,,Centrum,,,P,03-08-2012,BRUIPE,
FT192,,,FT,,Fietstrommel,,,,ST MARIASTR,114,,,,,,,,51.9185600280762,4.46827983856201,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT193,,,FT,,Fietstrommel,,,,V VOLLENHOVENSTR,34,,,,,,,,51.9105110168457,4.47781991958618,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT194,,,FT,,Fietstrommel,,,,HAAGSEVEER,94,,,,,,,,51.9226493835449,4.48178005218506,,,,,,,,,Centrum,,,A,07-06-2009,Conversie,
FT195,,,FT,,Fietstrommel,,,,STATENSNGL,177,,,,,,,,51.9272613525391,4.45668983459473,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT196,,,FT,,Fietstrommel,,,,SCHEPENSTR,99,,,,,,,,51.9273185729981,4.46318006515503,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
FT197,,,FT,,Fietstrommel,,,,SCHEPENSTR,99,,,,,,,,51.9273185729981,4.46319007873535,,,,,,,,,Noord,,,A,08-07-2010,BEHEER-STZ,
FT198,,,FT,,Fietstrommel,,,,BESEMERSTR,4,,,,,,,,51.9333610534668,4.45988988876343,,,,,,,,,Noord,,,A,07-06-2009,Conversie,
